应用代码,应用名称,应用类型,公司名称,app大小,版本号,更新时间,评分,下载人数,应用介绍,图标,下载地址,爬取时间
C10854125,iGO共享出行,出行导航,深圳市分时共享网络有限公司,37.39MB,3.0.3,2019-08-05,score_9,58万次,iGO共享出行汽车，基于共享经济形态，解决都市群体出行难题的自助式汽车分时租赁平台。智力于智能交通领域，增添城市绿色。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/dd8afed680c14d5b8b64c48a611191d9.png,http://appdlc.hicloud.com/dl/appdl/application/apk/dd/dd8afed680c14d5b8b64c48a611191d9/com.fsgx.car.android.igo.1908051215.apk?sign=portal@portal1565009497926&source=portalsite&maple=0,2019-08-05
C268,触宝电话,社交通讯,上海触宝信息技术有限公司,29.10MB,6.7.6.8,2019-08-05,score_5,9934万次,下载量过亿的电话交友软件，可以拨打免费的网络电话。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1086f6dc251d42d6badb23934fd6b420.png,http://appdlc.hicloud.com/dl/appdl/application/apk/10/1086f6dc251d42d6badb23934fd6b420/com.cootek.smartdialer.1908051911.apk?sign=portal@portal1565009500192&source=portalsite&maple=0,2019-08-05
C100748153,FreshGoGo,购物比价,Freshgogo Inc.,13.17MB,2.0.7,2019-08-05,score_0,<10000次,FreshGoGo优鲜购是北美第一家由强大技术平台支持、专门为华人提供新鲜、高品质、价格优惠的新鲜优质蔬菜、家禽肉类、鱼虾海产、冷冻食品、冷藏食品、粮油副食、南北干货、休闲零食、茶水饮料等，还有精选餐厅商户的地道亚洲美食。客户不但可以通过智能手机、iPad和电脑就可以订购新鲜、高品质、价格优惠的中式食材和地道亚洲美食，下单时，客户可以选择自提点就近取货、或者配送到家；配送当天，可以实时追踪订单和递送状况，,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/c33eaaa70a22466f86bba6bfc9d58910.png,http://appdlc.hicloud.com/dl/appdl/application/apk/c3/c33eaaa70a22466f86bba6bfc9d58910/net.freshgogo.android.1908051259.apk?sign=portal@portal1565009500998&source=portalsite&maple=0,2019-08-05
C100340103,得米啦,购物比价,广州牛往信息科技有限公司,9.32MB,2.3.9,2019-08-05,score_10,16万次,得米啦APP是淘宝优惠券、天猫优惠券、京东优惠券领券平台，为大家提供淘宝优惠券、天猫优惠券、京东优惠券、店铺官方无门槛优惠券资源，帮助大家省钱还有返利哦。内部优惠券也叫非公开优惠券，是商家为提升销量而发布，直接在手机淘宝上正常购买是无法看到,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1262cfc7f7384f9e98bd3f6ccf04f16b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/12/1262cfc7f7384f9e98bd3f6ccf04f16b/com.youshome.andriod.demila.1908051745.apk?sign=portal@portal1565009501689&source=portalsite&maple=0,2019-08-05
C100333971,信息管理平台,实用工具,苏再强,8.04MB,4.0.7,2019-08-05,score_8,<10000次,mInfo是一款基于手机的信息管理软件，在这里您可以存储和管理任何信息，您可以完全自己定义自己的信息表，也可以方便的使用我们提供的模板，操作简单，个性化十足。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9f6f85dcddad4a7e9fd5cc2f6a33f2df.png,http://appdlc.hicloud.com/dl/appdl/application/apk/9f/9f6f85dcddad4a7e9fd5cc2f6a33f2df/com.xiandao.minfo.1908042058.apk?sign=portal@portal1565009502567&source=portalsite&maple=0,2019-08-05
C100300655,一闪,拍摄美化,北京灵光闪现科技有限公司,35.78MB,3.3.2,2019-08-05,score_6,145万次,一闪（Onetake）现已支持视频（为,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b683c0b3c049437f87d2cec8b20fcb22.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b6/b683c0b3c049437f87d2cec8b20fcb22/com.blink.academy.onetake.1908051641.apk?sign=portal@portal1565009503315&source=portalsite&maple=0,2019-08-05
C100984865,魔法公主换装,儿童,阳江糖芯网络软件有限公司,79.03MB,1.1,2019-08-05,score_0,<10000次,想要魔法公主那样可爱清新的装扮吗？一起变身成可爱的魔法公主，去开启时尚装扮之旅吧！精致放松按摩，海量化妆工具，各色当季流行服饰，打造梦幻女神！画风优美细腻，造型百变多样！快来动手为你和你的朋友打造美少女造型吧！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/bda1bb8cc7bc4e8f972cdb9f279e7099.png,http://appdlc.hicloud.com/dl/appdl/application/apk/bd/bda1bb8cc7bc4e8f972cdb9f279e7099/com.fatcat.priness.dress.1908011549.apk?sign=portal@portal1565009504173&source=portalsite&maple=0,2019-08-05
C100828263,快捷人才网,商务,湖北辛巴达人力资源服务有限公司,2.10MB,2.2,2019-08-05,score_0,<10000次,快捷人才网是专业人力资源服务机构，面向湖北省广大企业和求职者提供全方位综合型人力资源服务。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/803eb4c3fa704d9b83363562d6bfedc0.png,http://appdlc.hicloud.com/dl/appdl/application/apk/80/803eb4c3fa704d9b83363562d6bfedc0/com.gsail.hr1000.1908011456.apk?sign=portal@portal1565009504867&source=portalsite&maple=0,2019-08-05
C100102073,万达普惠,金融理财,广州万达普惠网络小额贷款有限公司,44.96MB,2.16.0,2019-08-05,score_5,328万次,万达普惠为万达金融集团旗下全资子公司，为您提供优质信用贷款服务。线上极速申请，实时审批，极速放款，随借随还，快速提现，专业的借钱贷款优质平台。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/056c87b68c1c4365b512a069b274219c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/05/056c87b68c1c4365b512a069b274219c/com.wdjr.loan.1908051751.apk?sign=portal@portal1565009505617&source=portalsite&maple=0,2019-08-05
C10589094,南方周末,新闻阅读,广东南方数媒工场科技有限责任公司,24.20MB,6.5.0,2019-08-05,score_8,382万次,【南方周末app自6.0版本起全面改版升级！】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/75cf060dea264618b8b148e313b7ad9c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/75/75cf060dea264618b8b148e313b7ad9c/com.infzm.ireader.1908051827.apk?sign=portal@portal1565009507840&source=portalsite&maple=0,2019-08-05
